Player,Team,Age,GP,W,L,Min,PTS,FG%,3P%,FT%,AST,PF
Nicolas Batum,LAC,34,75,41,34,1634.5,464,42.5,39.6,69.6,116,144
Sam Hauser,BOS,25,76,52,24,1184.0,457,45.1,41.7,70.6,59,95
Taurean Prince,MIN,29,51,28,23,1108.8,453,46.8,38.0,85.5,82,117
Precious Achiuwa,TOR,23,51,28,23,1053.9,450,47.5,24.5,68.6,48,94
Aaron Wiggins,OKC,24,67,35,32,1233.6,447,50.9,40.0,81.5,77,105
Kendrick Nunn,WAS,27,66,29,37,876.6,438,42.4,34.7,84.8,74,59
Davion Mitchell,SAC,24,77,46,31,1388.1,429,46.1,31.7,80.6,177,106
David Roddy,MEM,22,66,42,24,1135.0,425,42.8,30.1,63.1,49,100
Kenrich Williams,OKC,28,53,26,27,1206.0,425,51.7,37.3,43.6,105,112
Isaiah Jackson,IND,21,60,23,37,965.7,424,56.2,14.3,64.7,48,144
Jock Landale,PHX,27,65,33,32,919.5,422,52.3,24.4,76.5,62,122
Obi Toppin,NYK,25,64,36,28,944.6,421,43.1,33.5,78.4,54,61
Xavier Tillman,MEM,24,59,38,21,1149.2,421,62.4,26.7,55.1,93,96
Larry Nance Jr.,NOP,30,61,32,29,1289.3,420,60.4,33.3,69.3,111,125
Terence Davis,SAC,25,61,37,24,787.9,413,43.8,38.1,82.9,63,99
Mitchell Robinson,NYK,25,57,34,23,1531.2,412,69.3,0.0,50.5,50,153
Jeff Green,DEN,36,53,33,20,1039.5,411,49.2,28.4,74.3,64,96
Trendon Watford,POR,22,59,26,33,1116.1,408,55.6,37.3,71.7,120,112
James Wiseman,DET,22,41,10,31,776.1,406,56.9,21.1,70.0,27,99
Anthony Lamb,GSW,25,59,33,26,1167.9,405,46.7,36.9,76.7,93,129
Victor Oladipo,MIA,30,40,22,18,1056.2,400,38.7,30.9,77.3,134,93
Ochai Agbaji,UTA,22,55,28,27,1078.6,396,43.8,37.4,79.3,53,91
Gary Harris,ORL,28,47,22,25,1160.4,394,45.5,43.7,90.0,57,92
Patrick Beverley,CHI,34,64,33,31,1732.9,394,39.7,33.2,72.3,183,179
Isaiah Hartenstein,NYK,24,79,46,33,1570.8,390,53.4,21.6,67.6,90,204
Cam Reddish,POR,23,40,14,26,989.6,387,44.6,31.3,85.3,57,72
Andre Drummond,CHI,29,64,31,33,815.6,386,60.9,0.0,53.9,33,115
Cory Joseph,DET,31,58,11,47,1100.1,386,43.1,38.6,80.3,198,81
John Wall,LAC,32,34,15,19,754.7,386,40.7,30.3,68.1,178,59
Jaden Hardy,DAL,20,45,19,26,650.0,382,43.8,41.8,81.8,59,63
Oshae Brissett,IND,24,62,26,36,1025.5,374,38.8,31.8,72.3,40,75
Edmond Sumner,BKN,27,51,31,20,712.3,369,45.7,36.0,92.3,68,82
Alex Caruso,CHI,29,64,31,33,1523.1,365,45.5,36.7,80.8,189,153
